id;code;canton;departement;cereales;racines_et_legumes_divers;cultures_diverses;prairies_artificielles;jacheres;total_des_terres_labourables;prairies_naturelles;vignes;autres_cultures_arborescentes;paturages;autres_surfaces_ecoumene;superficie_totale;marais_susceptibles_d_etre_desseches;code_departement;centre;geometry
65;335;LIBOURNE;GIRONDE;31678;7087;1741;4911;9893;55310;15510;35957;87;3932;18224;129020;0;33;;list(c(441965.952589453, 447931.331579044, 458612.654041236, 475203.568919606, 472262.982548517, 434427.56317512, 428549.062203538, 441965.952589453, 6459270.54696946, 6460528.56363911, 6459062.54023829, 6437040.24107768, 6418100.78983448, 6404256.40486455, 6442019.11420874, 6459270.54696946))
66;613;DOMFRONT;ORNE;46181;620;2695;10973;14998;75467;18321;0;1997;4025;23554;123364;0;61;;list(c(422467.608189093, 441819.130175084, 453175.1336299, 458512.423623234, 456095.902848096, 417595.622849596, 422467.608189093, 6850976.88976322, 6861529.68843023, 6849379.02508804, 6830457.75234454, 6823734.97969019, 6821730.35501103, 6850976.88976322))
67;331;BAZAS;GIRONDE;22997;1962;4612;1168;3032;33771;8959;8334;375;30202;66756;148397;125;33;;list(c(432377.493929957, 460028.703456007, 463655.450773478, 449717.509927035, 376084.97206364, 432377.493929957, 6401631.38656498, 6376236.06572439, 6355944.43651757, 6338885.05579743, 6369911.02778551, 6401631.38656498))
68;473;NERAC;LOT ET GARONNE;31236;1966;1387;3768;16083;54440;6740;13124;324;20366;43826;138820;1850;47;;list(c(463655.450773478, 493040.325800726, 502472.672008306, 502233.074521608, 453562.135254592, 449717.509927035, 463655.450773478, 6355944.43651757, 6365037.71495277, 6332984.63922171, 6332722.48174934, 6327874.33917401, 6338885.05579743, 6355944.43651757))
69;325;MIRANDE;GERS;54410;2183;1793;5960;23470;87816;18550;24460;141;8107;30223;169297;600;32;;list(c(454519.278582272, 455875.724286721, 477921.17313184, 509994.91155375, 507019.270077234, 490566.888051787, 454730.363976155, 451568.182425857, 454519.278582272, 6294639.63102096, 6296828.35168554, 6297072.21442672, 6268344.67230961, 6252343.38443091, 6243378.2550094, 6277274.41873031, 6287127.09253922, 6294639.63102096))
70;142;CAEN;CALVADOS;40374;2425;18539;16830;5213;83381;12875;0;113;1949;9840;108211;156;14;;list(c(476136.498777799, 475530.455938224, 439430.697586147, 431848.64599574, 448135.670160505, 451915.027620871, 465544.902699097, 471497.388122536, 476136.498777799, 6897668.44702043, 6893035.98470882, 6879860.50514118, 6887325.15072152, 6921019.09792491, 6920492.22965583, 6914302.26772034, 6914722.14802767, 6897668.44702043))
71;723;LE MANS;SARTHE;63626;12042;8441;18110;22440;124659;18960;2138;538;8408;34180;188883;162;72;;list(c(454635.258610273, 455864.302743669, 463418.75359312, 485779.370345984, 514193.710209429, 506238.198934388, 455169.650311948, 454635.258610273, 6771324.39339194, 6779021.54053465, 6790540.5035433, 6793158.12778737, 6783166.55779272, 6736046.92113267, 6768929.84797174, 6771324.39339194))
72;163;COGNAC;CHARENTE;22790;3387;616;1991;1867;30651;7126;23461;0;1191;9087;71516;1111;16;;list(c(431138.929034572, 456609.017259581, 462879.829045278, 458550.16662634, 441169.8800748, 424592.993261896, 431138.929034572, 6528949.02540453, 6540636.26658967, 6533207.18402381, 6510262.70079515, 6500861.77622976, 6505555.53345267, 6528949.02540453))
73;792;MELLE;DEUX SEVRES;51605;3432;3011;12268;29363;99679;11168;3804;482;1075;21085;137293;454;79;;list(c(456116.351625636, 472309.884070221, 480245.382061797, 474479.889037518, 456138.422757332, 436771.653028728, 456116.351625636, 6596939.01865357, 6598603.45164209, 6590513.55880218, 6567602.89672012, 6543797.27297649, 6564539.86423317, 6596939.01865357))
74;143;FALAISE;CALVADOS;43156;2087;4557;8643;6133;64576;7002;0;390;2347;12733;87048;271;14;;list(c(439430.697586147, 475530.455938224, 491300.575026229, 453175.1336299, 441819.130175084, 439430.697586147, 6879860.50514118, 6893035.98470882, 6873474.75593241, 6849379.02508804, 6861529.68843023, 6879860.50514118))
75;494;SAUMUR;MAINE ET LOIRE;41894;9225;5585;7801;14672;79177;13613;13086;0;5700;27278;138854;0;49;;list(c(434782.39191259, 451633.666978939, 489875.00515062, 475439.457650233, 453775.644505492, 436050.701180355, 434782.39191259, 6682371.90430678, 6705440.20308741, 6706625.23071038, 6676055.35243445, 6666050.5205684, 6678967.97183472, 6682371.90430678))
76;794;PARTHENAY;DEUX SEVRES;45810;9298;3116;5954;43307;107485;18736;2352;14;8328;21115;158030;103;79;;list(c(460572.137821031, 478582.553792194, 472309.884070221, 456116.351625636, 431673.781381803, 426592.145921697, 460572.137821031, 6645077.2363715, 6632585.80772185, 6598603.45164209, 6596939.01865357, 6610252.84353453, 6621913.35225246, 6645077.2363715))
77;492;BAUGE;MAINE ET LOIRE;48177;8630;3588;6177;20529;87101;13350;3658;91;9554;26875;140629;300;49;;list(c(444959.968644415, 498613.870821235, 495178.423129868, 489875.00515062, 451633.666978939, 444959.968644415, 6736957.4395729, 6719775.40532942, 6709656.70259786, 6706625.23071038, 6705440.20308741, 6736957.4395729))
78;336;LA REOLE;GIRONDE;23850;2007;907;2786;7486;37036;8984;18102;234;1539;15081;80976;0;33;;list(c(472262.982548517, 479100.854479492, 460028.703456007, 432377.493929957, 434427.56317512, 472262.982548517, 6418100.78983448, 6407520.31117399, 6376236.06572439, 6401631.38656498, 6404256.40486455, 6418100.78983448))
79;162;BARBEZIEUX;CHARENTE;30658;7581;796;4216;4850;48101;10943;11295;21;5771;22658;98789;200;16;;list(c(447931.331579044, 441169.8800748, 458550.16662634, 477246.983772915, 458612.654041236, 447931.331579044, 6460528.56363911, 6500861.77622976, 6510262.70079515, 6484331.75101967, 6459062.54023829, 6460528.56363911))
80;661;CERET;PYRENEES ORIENTALES;11593;3727;421;1237;3200;20178;1988;11417;4519;32227;22071;92400;0;66;;list(c(672894.443744574, 703356.25580446, 703330.608892655, 686647.507747352, 665186.700982499, 657108.69467275, 654596.237288374, 672894.443744574, 6171562.68776639, 6156740.95751159, 6152707.70074619, 6150926.50150212, 6139875.41366729, 6138134.59417127, 6139629.1013051, 6171562.68776639))
81;241;BERGERAC;DORDOGNE;65120;8027;1425;3996;18553;97121;15931;28406;7842;12810;57614;219724;0;24;;list(c(475203.568919606, 501966.746225467, 529151.181038929, 531227.694618586, 501419.483179052, 479100.854479492, 472262.982548517, 475203.568919606, 6437040.24107768, 6443296.5264927, 6429759.92784062, 6403626.44225352, 6391909.88378836, 6407520.31117399, 6418100.78983448, 6437040.24107768))
82;165;RUFFEC;CHARENTE;36859;3807;1439;6472;4353;52930;6243;11103;1676;959;14078;86989;394;16;;list(c(456138.422757332, 474479.889037518, 501155.269350421, 499645.086124573, 462879.829045278, 456609.017259581, 456138.422757332, 6543797.27297649, 6567602.89672012, 6548394.76322339, 6528331.31737047, 6533207.18402381, 6540636.26658967, 6543797.27297649))
83;144;LISIEUX;CALVADOS;21109;1403;900;1427;8651;33490;26965;0;15105;1522;11911;88993;45;14;;list(c(476136.498777799, 507248.212395714, 514353.97452705, 504368.173155704, 491300.575026229, 475530.455938224, 476136.498777799, 6897668.44702043, 6910757.15532338, 6903712.36870181, 6867690.8556329, 6873474.75593241, 6893035.98470882, 6897668.44702043))
84;863;LOUDUN;VIENNE;39897;2111;812;7825;14762;65407;4227;5122;0;2490;12672;89918;79;86;;list(c(453775.644505492, 475439.457650233, 502987.418137342, 488061.2129208, 478582.553792194, 460572.137821031, 453775.644505492, 6666050.5205684, 6676055.35243445, 6658149.98581674, 6636264.57306872, 6632585.80772185, 6645077.2363715, 6666050.5205684))
85;161;ANGOULEME;CHARENTE;52317;10620;1840;8778;6785;80340;16168;46616;2005;6342;43913;195384;40;16;;list(c(462879.829045278, 499645.086124573, 503192.989857199, 504542.956121263, 494131.564774311, 477246.983772915, 458550.16662634, 462879.829045278, 6533207.18402381, 6528331.31737047, 6524702.21920991, 6520687.71038801, 6489438.04066011, 6484331.75101967, 6510262.70079515, 6533207.18402381))
86;244;RIBERAC;DORDOGNE;36856;7878;1737;2337;7588;56396;13634;15058;3817;9145;48403;146453;54;24;;list(c(477246.983772915, 494131.564774311, 509178.610238151, 501966.746225467, 475203.568919606, 458612.654041236, 477246.983772915, 6484331.75101967, 6489438.04066011, 6476147.61424436, 6443296.5264927, 6437040.24107768, 6459062.54023829, 6484331.75101967))
87;653;TARBES;HAUTES PYRENEES;34841;2067;2243;1606;16626;57383;16556;13650;4641;15171;23306;130707;208;65;;list(c(454730.363976155, 490566.888051787, 486903.586053953, 459810.586174929, 441673.019508371, 454730.363976155, 6277274.41873031, 6243378.2550094, 6230252.6569255, 6226532.20738954, 6236711.94578474, 6277274.41873031))
88;472;MARMANDE;LOT ET GARONNE;46744;3122;4755;6308;18625;79554;14600;22850;155;1789;21959;140907;22;47;;list(c(460028.703456007, 479100.854479492, 501419.483179052, 495798.980266077, 493040.325800726, 463655.450773478, 460028.703456007, 6376236.06572439, 6407520.31117399, 6391909.88378836, 6367883.18782614, 6365037.71495277, 6355944.43651757, 6376236.06572439))
89;652;BAGNERES;HAUTES PYRENEES;23616;2988;1647;1771;3474;33496;18305;1659;3009;75919;58694;191082;4;65;;list(c(459810.586174929, 486903.586053953, 502573.34843539, 493119.596053144, 468515.872091452, 453967.778909207, 448820.695809505, 459810.586174929, 6226532.20738954, 6230252.6569255, 6180108.80827988, 6181123.70686849, 6185984.8301302, 6180877.37006418, 6186101.02749504, 6226532.20738954))
90;663;PRADES;PYRENEES ORIENTALES;12879;3662;455;798;11753;29547;6045;7543;646;98153;40804;182738;0;66;;list(c(616778.080539632, 666260.338528975, 672894.443744574, 654596.237288374, 638774.984858247, 624534.622617057, 601560.195757318, 601133.318479367, 616778.080539632, 6183699.03516822, 6198492.18006971, 6171562.68776639, 6139629.1013051, 6149040.19610412, 6141006.5234697, 6155251.1175896, 6158181.00335885, 6183699.03516822))
91;612;ARGENTAN;ORNE;59302;1848;1925;13260;20464;96799;55617;0;2398;4073;28096;186983;832;61;;list(c(453175.1336299, 491300.575026229, 504368.173155704, 510433.480346028, 499461.594564112, 458512.423623234, 453175.1336299, 6849379.02508804, 6873474.75593241, 6867690.8556329, 6860518.98753655, 6838539.09489433, 6830457.75234454, 6849379.02508804))
92;145;PONTS L'EVEQUE;CALVADOS;12560;1464;876;1930;7149;23979;28548;0;11084;1180;12494;77285;0;14;;list(c(471497.388122536, 475257.477250932, 490048.163553813, 504467.188253636, 507248.212395714, 476136.498777799, 471497.388122536, 6914722.14802767, 6914987.37965219, 6925296.87443889, 6925250.37636354, 6910757.15532338, 6897668.44702043, 6914722.14802767))
93;371;CHINON;INDRE ET LOIRE;53402;7701;3579;8578;19761;93021;9967;11430;216;11614;43000;169248;1120;37;;list(c(489875.00515062, 495178.423129868, 518898.96372516, 517843.172598462, 502987.418137342, 475439.457650233, 489875.00515062, 6706625.23071038, 6709656.70259786, 6674994.87834574, 6666525.39995879, 6658149.98581674, 6676055.35243445, 6706625.23071038))
94;611;ALENCON;ORNE;34370;489;1119;5262;12704;53944;27015;0;138;2050;20178;103325;25;61;;list(c(458512.423623234, 499461.594564112, 502118.969216493, 485779.370345984, 463418.75359312, 456095.902848096, 458512.423623234, 6830457.75234454, 6838539.09489433, 6829529.57479918, 6793158.12778737, 6790540.5035433, 6823734.97969019, 6830457.75234454))
95;862;CIVRAY;VIENNE;35579;2252;1828;8651;19803;68113;8714;3015;770;20832;14144;115588;10;86;;list(c(480245.382061797, 510385.465541415, 515909.18208783, 501155.269350421, 474479.889037518, 480245.382061797, 6590513.55880218, 6586074.75061213, 6577585.41753522, 6548394.76322339, 6567602.89672012, 6590513.55880218))
96;322;CONDOM;GERS;42263;2712;1864;2565;15008;64412;14703;30901;131;17282;22532;149961;558;32;;list(c(453562.135254592, 502233.074521608, 498582.88243744, 477921.17313184, 455875.724286721, 453562.135254592, 6327874.33917401, 6332722.48174934, 6305562.05745527, 6297072.21442672, 6296828.35168554, 6327874.33917401))
97;865;POITIERS;VIENNE;62235;3770;3057;19619;31330;120011;10521;12508;19;13850;34214;191123;427;86;;list(c(472309.884070221, 478582.553792194, 488061.2129208, 523792.203356479, 510385.465541415, 480245.382061797, 472309.884070221, 6598603.45164209, 6632585.80772185, 6636264.57306872, 6614774.71554017, 6586074.75061213, 6590513.55880218, 6598603.45164209))
98;614;MORTAGNE;ORNE;63322;1078;2415;24733;31389;122937;28500;0;655;4000;39964;196056;2571;61;;list(c(499461.594564112, 510433.480346028, 538120.05664227, 545971.531723993, 554267.184888453, 522202.67219352, 502118.969216493, 499461.594564112, 6838539.09489433, 6860518.98753655, 6859596.04201104, 6853312.30114963, 6831397.96004846, 6812361.81626461, 6829529.57479918, 6838539.09489433))
99;373;TOURS;INDRE ET LOIRE;92221;7688;2809;12906;35928;151552;15100;21197;2895;12495;59049;262288;128;37;;list(c(498613.870821235, 507246.688682335, 528932.706823578, 545514.995329655, 554840.120129819, 518898.96372516, 495178.423129868, 498613.870821235, 6719775.40532942, 6733565.98204686, 6731658.12254011, 6720799.04380286, 6698706.38056573, 6674994.87834574, 6709656.70259786, 6719775.40532942))
100;164;CONFOLENS;CHARENTE;47664;4187;1629;3492;12913;69885;28873;4950;6569;14380;16903;141560;0;16;;list(c(499645.086124573, 501155.269350421, 515909.18208783, 528709.551263936, 536049.443946363, 503192.989857199, 499645.086124573, 6528331.31737047, 6548394.76322339, 6577585.41753522, 6572114.35984989, 6544914.53671172, 6524702.21920991, 6528331.31737047))
101;312;SAINT GAUDENS;HAUTE GARONNE;47890;6807;2042;4134;20759;81632;24181;7685;2507;13146;83653;212804;0;31;;list(c(507019.270077234, 542372.860894301, 520588.087943781, 512552.096654806, 507340.695428922, 508771.598449865, 502573.34843539, 486903.586053953, 490566.888051787, 507019.270077234, 6252343.38443091, 6238117.31260779, 6195638.54360249, 6198495.6807711, 6189794.33667037, 6179443.40104927, 6180108.80827988, 6230252.6569255, 6243378.2550094, 6252343.38443091))
102;861;CHATELLERAULT;VIENNE;35489;3497;1286;9733;16896;66901;4058;5304;13;11585;24617;112478;0;86;;list(c(502987.418137342, 517843.172598462, 542123.231743148, 529129.43925615, 523792.203356479, 488061.2129208, 502987.418137342, 6658149.98581674, 6666525.39995879, 6642725.91126385, 6617769.72908895, 6614774.71554017, 6636264.57306872, 6658149.98581674))
103;471;AGEN;LOT ET GARONNE;39084;3919;2795;6730;16230;68758;7300;12962;2021;1418;8744;101203;2;47;;list(c(495798.980266077, 531905.067275792, 531409.348844173, 520309.373779033, 502472.672008306, 493040.325800726, 495798.980266077, 6367883.18782614, 6352548.70476744, 6350660.18942488, 6333565.74538587, 6332984.63922171, 6365037.71495277, 6367883.18782614))
104;323;LECTOURE;GERS;39684;3662;1425;2822;13829;61422;10236;12379;6;1628;12841;98512;0;32;;list(c(502472.672008306, 520309.373779033, 536480.161400756, 534373.630957896, 498582.88243744, 502233.074521608, 502472.672008306, 6332984.63922171, 6333565.74538587, 6297392.84495693, 6296674.50578388, 6305562.05745527, 6332722.48174934, 6332984.63922171))
105;242;NONTRON;DORDOGNE;33744;8239;1219;2887;7611;53700;21340;9757;25688;20494;34991;165970;207;24;;list(c(504542.956121263, 539905.578574404, 538665.608093716, 509178.610238151, 494131.564774311, 504542.956121263, 6520687.71038801, 6505634.5539962, 6477004.61681662, 6476147.61424436, 6489438.04066011, 6520687.71038801))
106;275;PONT AUDEMER;EURE;28077;4124;3680;6095;9874;51850;9323;0;10925;3064;17723;92885;1475;27;;list(c(507248.212395714, 504467.188253636, 515395.06253986, 540079.821237026, 543350.122639953, 541676.558822682, 514353.97452705, 507248.212395714, 6910757.15532338, 6925250.37636354, 6942832.53802273, 6927415.29044812, 6912837.51371804, 6907863.71806547, 6903712.36870181, 6910757.15532338))
107;761;DIEPPE;SEINE INFERIEURE;47485;7603;6349;13547;6446;81430;7751;0;9299;3673;15056;117209;41;76;;list(c(589914.915746045, 563112.48766249, 534344.844752576, 561128.496253316, 583971.7246795, 586022.515636499, 589914.915746045, 6990277.22975543, 6956285.31511534, 6976886.21229474, 6982533.09628113, 6997563.48054227, 7000736.29682029, 6990277.22975543))
108;722;MAMERS;SARTHE;56012;2875;5678;25736;24664;114965;19664;342;208;1797;24670;161646;0;72;;list(c(502118.969216493, 522202.67219352, 518034.275559666, 514193.710209429, 485779.370345984, 502118.969216493, 6829529.57479918, 6812361.81626461, 6785262.46008274, 6783166.55779272, 6793158.12778737, 6829529.57479918))
109;272;BERNAY;EURE;38801;3529;2238;10643;14402;69613;4521;0;8209;2928;23847;109118;0;27;;list(c(504368.173155704, 514353.97452705, 541676.558822682, 546166.170387642, 538120.05664227, 510433.480346028, 504368.173155704, 6867690.8556329, 6903712.36870181, 6907863.71806547, 6894059.10106384, 6859596.04201104, 6860518.98753655, 6867690.8556329))
110;864;MONTMORILLON;VIENNE;46541;2487;1972;6256;43613;100869;18765;5661;36;38899;23700;187930;4;86;;list(c(510385.465541415, 523792.203356479, 529129.43925615, 557726.640716775, 556142.451578826, 528709.551263936, 515909.18208783, 510385.465541415, 6586074.75061213, 6614774.71554017, 6617769.72908895, 6597378.91487076, 6579396.04905343, 6572114.35984989, 6577585.41753522, 6586074.75061213))
111;321;AUCH;GERS;50029;2743;1536;3872;15150;73330;12347;20095;0;5107;19622;130501;0;32;;list(c(498582.88243744, 534373.630957896, 509994.91155375, 477921.17313184, 498582.88243744, 6305562.05745527, 6296674.50578388, 6268344.67230961, 6297072.21442672, 6305562.05745527))
112;324;LOMBEZ;GERS;30971;3461;1022;5987;12976;54417;5743;6757;0;1740;11103;79760;0;32;;list(c(534373.630957896, 536480.161400756, 543708.600505248, 548148.237887701, 543488.122167133, 542372.860894301, 507019.270077234, 509994.91155375, 534373.630957896, 6296674.50578388, 6297392.84495693, 6296616.16876499, 6283004.37663581, 6238512.61384916, 6238117.31260779, 6252343.38443091, 6268344.67230961, 6296674.50578388))
113;724;SAINT CALAIS;SARTHE;38682;3596;2078;11314;23427;79097;7509;2700;86;2362;18185;109939;0;72;;list(c(506238.198934388, 514193.710209429, 518034.275559666, 549128.326127473, 553076.104763499, 528932.706823578, 507246.688682335, 506238.198934388, 6736046.92113267, 6783166.55779272, 6785262.46008274, 6780865.59989624, 6768971.64126621, 6731658.12254011, 6733565.98204686, 6736046.92113267))
114;474;VILLENEUVE;LOT ET GARONNE;55296;4731;2383;5382;21366;89158;13160;17856;1814;2762;29716;154466;10;47;;list(c(501419.483179052, 531227.694618586, 539592.341813388, 547581.000889487, 548640.069233886, 531905.067275792, 495798.980266077, 501419.483179052, 6391909.88378836, 6403626.44225352, 6397792.42268526, 6386075.68599728, 6366077.47591139, 6352548.70476744, 6367883.18782614, 6391909.88378836))
115;243;PERIGUEUX;DORDOGNE;53259;10439;1282;1895;5013;71888;12076;23627;26133;12376;45644;191744;0;24;;list(c(509178.610238151, 538665.608093716, 552581.918654435, 551923.714820828, 529151.181038929, 501966.746225467, 509178.610238151, 6476147.61424436, 6477004.61681662, 6461754.371746, 6455777.02802237, 6429759.92784062, 6443296.5264927, 6476147.61424436))
116;093;SAINT GIRONS;ARIEGE;17844;5069;1345;4219;4548;33025;20302;1891;646;46472;47737;150073;11;09;;list(c(542372.860894301, 543488.122167133, 561131.981165032, 568192.230007291, 567601.779706067, 565300.604842032, 549651.096591997, 545982.265507062, 524684.717623538, 520588.087943781, 542372.860894301, 6238117.31260779, 6238512.61384916, 6234283.76400994, 6218627.25152845, 6177659.06622173, 6181413.67516585, 6180571.43571725, 6186549.39811494, 6194182.0172695, 6195638.54360249, 6238117.31260779))
117;873;ROCHECHOUART;HAUTE VIENNE;23452;4180;1548;84;7285;36549;20737;880;9769;3328;8582;79845;0;87;;list(c(504542.956121263, 503192.989857199, 536049.443946363, 546791.102827548, 548943.095050374, 539905.578574404, 504542.956121263, 6520687.71038801, 6524702.21920991, 6544914.53671172, 6539484.45111193, 6512723.86717678, 6505634.5539962, 6520687.71038801))
118;372;LOCHES;INDRE ET LOIRE;70783;4645;225;6204;30957;112814;8790;4258;0;23195;30777;179834;0;37;;list(c(518898.96372516, 554840.120129819, 573426.693227473, 583313.792577659, 569111.887096543, 542123.231743148, 517843.172598462, 518898.96372516, 6674994.87834574, 6698706.38056573, 6689064.98175424, 6667410.76593976, 6646633.70186804, 6642725.91126385, 6666525.39995879, 6674994.87834574))
119;765;YVETOT;SEINE INFERIEURE;45440;9055;7502;13748;4097;79842;5786;0;9344;2007;18619;115598;0;76;;list(c(509238.058345855, 525309.723572609, 534344.844752576, 563112.48766249, 563698.753605279, 540079.821237026, 515395.06253986, 509238.058345855, 6966451.48315698, 6974981.30843558, 6976886.21229474, 6956285.31511534, 6953982.22394851, 6927415.29044812, 6942832.53802273, 6966451.48315698))
120;764;ROUEN;SEINE INFERIEURE;42811;8230;4834;12522;2443;70840;10827;0;9794;3394;33540;128395;0;76;;list(c(540079.821237026, 563698.753605279, 589222.822291426, 574388.882972505, 543350.122639953, 540079.821237026, 6927415.29044812, 6953982.22394851, 6933347.99343274, 6918071.93195382, 6912837.51371804, 6927415.29044812))
121;821;CASTEL SARRASIN;TARN ET GARONNE;41727;3373;1393;5185;25454;77132;7401;15106;3;3297;18557;121496;0;82;;list(c(531409.348844173, 551829.327828515, 549211.294021104, 543708.600505248, 536480.161400756, 520309.373779033, 531409.348844173, 6350660.18942488, 6320006.14669177, 6300534.85297207, 6296616.16876499, 6297392.84495693, 6333565.74538587, 6350660.18942488))
122;245;SARLAT;DORDOGNE;43768;9154;1189;3383;5618;63112;9196;19453;22343;23017;57244;194365;2155;24;;list(c(529151.181038929, 551923.714820828, 581478.681098411, 539592.341813388, 531227.694618586, 529151.181038929, 6429759.92784062, 6455777.02802237, 6426977.19919367, 6397792.42268526, 6403626.44225352, 6429759.92784062))
123;274;LOUVIERS;EURE;29567;4749;2376;5462;5620;47774;2289;161;2926;1509;23852;78511;3;27;;list(c(543350.122639953, 574388.882972505, 576479.228418473, 546166.170387642, 541676.558822682, 543350.122639953, 6912837.51371804, 6918071.93195382, 6891818.76663964, 6894059.10106384, 6907863.71806547, 6912837.51371804))
124;874;SAINT YRIEIX;HAUTE VIENNE;19944;2388;1008;270;9271;32881;23164;5;14161;7054;13468;90733;0;87;;list(c(538665.608093716, 539905.578574404, 548943.095050374, 588322.45014638, 597025.182219123, 580176.825751777, 552581.918654435, 538665.608093716, 6477004.61681662, 6505634.5539962, 6512723.86717678, 6509868.88209173, 6501659.86042914, 6476869.02413168, 6461754.371746, 6477004.61681662))
125;284;NOGENT LE ROTROU;EURE ET LOIR;31699;372;981;12139;14284;59475;6528;52;5;1363;15303;82726;174;28;;list(c(522202.67219352, 554267.184888453, 559473.579564237, 565565.599254409, 549128.326127473, 518034.275559666, 522202.67219352, 6812361.81626461, 6831397.96004846, 6826730.92183757, 6802496.23811965, 6780865.59989624, 6785262.46008274, 6812361.81626461))
126;822;MOISSAC;TARN ET GARONNE;35477;3176;837;6321;13489;59300;4206;8853;5;4479;13749;90592;0;82;;list(c(548640.069233886, 568846.792301871, 551829.327828515, 531409.348844173, 531905.067275792, 548640.069233886, 6366077.47591139, 6350692.73268922, 6320006.14669177, 6350660.18942488, 6352548.70476744, 6366077.47591139))
127;311;MURET;HAUTE GARONNE;61167;5557;2234;9323;27554;105835;6609;16969;94;4196;29534;163237;0;31;;list(c(548148.237887701, 579635.615614297, 577408.574494733, 561131.981165032, 543488.122167133, 548148.237887701, 6283004.37663581, 6262894.58766337, 6245886.15679473, 6234283.76400994, 6238512.61384916, 6283004.37663581))
128;871;BELLAC;HAUTE VIENNE;35289;5203;1951;625;41948;85016;51741;1522;5873;20651;16121;180924;2500;87;;list(c(528709.551263936, 556142.451578826, 579220.104603168, 577847.381894748, 546791.102827548, 536049.443946363, 528709.551263936, 6572114.35984989, 6579396.04905343, 6559796.90579463, 6555665.6321746, 6539484.45111193, 6544914.53671172, 6572114.35984989))
129;313;TOULOUSE;HAUTE GARONNE;59353;6467;3192;10621;23075;102708;8347;21803;43;5143;21290;159334;0;31;;list(c(549211.294021104, 582767.947879991, 591589.291113405, 579635.615614297, 548148.237887701, 543708.600505248, 549211.294021104, 6300534.85297207, 6303783.05361863, 6275241.19390729, 6262894.58766337, 6283004.37663581, 6296616.16876499, 6300534.85297207))
130;413;VENDOME;LOIR ET CHER;80545;1939;1740;15774;27754;127752;8974;3911;192;3909;26955;171693;15;41;;list(c(553076.104763499, 584260.382183978, 545514.995329655, 528932.706823578, 553076.104763499, 6768971.64126621, 6748249.0727361, 6720799.04380286, 6731658.12254011, 6768971.64126621))
131;273;EVREUX;EURE;83330;6376;3492;26808;18612;138618;4773;832;10432;4627;51639;210921;12;27;;list(c(546166.170387642, 576479.228418473, 585507.270836347, 583966.43243538, 545971.531723993, 538120.05664227, 546166.170387642, 6894059.10106384, 6891818.76663964, 6883880.25014383, 6872417.60779562, 6853312.30114963, 6859596.04201104, 6894059.10106384))
132;283;DREUX;EURE ET LOIR;57961;2310;2129;25939;19838;108177;4106;1775;44;1932;34914;150948;0;28;;list(c(545971.531723993, 583966.43243538, 599880.118272849, 594040.8780318, 559473.579564237, 554267.184888453, 545971.531723993, 6853312.30114963, 6872417.60779562, 6855495.42051477, 6837192.29176425, 6826730.92183757, 6831397.96004846, 6853312.30114963))
133;282;CHATEAUDUN;EURE ET LOIR;78607;1663;1365;22690;19026;123351;4050;662;53;1520;14969;144605;1037;28;;list(c(549128.326127473, 565565.599254409, 608642.025666039, 608674.215855307, 588231.16413911, 584260.382183978, 553076.104763499, 549128.326127473, 6780865.59989624, 6802496.23811965, 6787474.5620265, 6787271.95753906, 6748078.00198928, 6748249.0727361, 6768971.64126621, 6780865.59989624))
134;411;BLOIS;LOIR ET CHER;101598;4042;2323;22211;27017;157191;9852;19391;31;11438;55321;253224;2324;41;;list(c(545514.995329655, 584260.382183978, 588231.16413911, 602155.793179794, 573426.693227473, 554840.120129819, 545514.995329655, 6720799.04380286, 6748249.0727361, 6748078.00198928, 6727797.99018825, 6689064.98175424, 6698706.38056573, 6720799.04380286))
135;361;LE BLANC;INDRE;50780;2084;2416;5029;30451;90760;24352;4451;23;25788;38688;184062;9736;36;;list(c(542123.231743148, 569111.887096543, 580584.16350171, 557726.640716775, 529129.43925615, 542123.231743148, 6642725.91126385, 6646633.70186804, 6616848.347738, 6597378.91487076, 6617769.72908895, 6642725.91126385))
136;463;GOURDON;LOT;54730;5290;1261;1739;10434;73454;6222;11660;6263;19861;31147;148607;32;46;;list(c(539592.341813388, 581478.681098411, 603700.950828023, 595377.842828874, 547581.000889487, 539592.341813388, 6397792.42268526, 6426977.19919367, 6420961.34131707, 6393280.38277392, 6386075.68599728, 6397792.42268526))
137;872;LIMOGES;HAUTE VIENNE;45612;3152;2181;541;24281;75767;47000;730;26974;33717;15967;200155;2824;87;;list(c(577847.381894748, 588322.45014638, 548943.095050374, 546791.102827548, 577847.381894748, 6555665.6321746, 6509868.88209173, 6512723.86717678, 6539484.45111193, 6555665.6321746))
138;363;LA CHATRE;INDRE;39065;2135;1953;4452;25565;73170;28399;2075;2475;8145;17800;132064;12;36;;list(c(557726.640716775, 580584.16350171, 609832.713107273, 609238.801440796, 582881.93978446, 579220.104603168, 556142.451578826, 557726.640716775, 6597378.91487076, 6616848.347738, 6600833.39835899, 6595776.8706705, 6561685.42527681, 6559796.90579463, 6579396.04905343, 6597378.91487076))
139;362;CHATEAUROUX;INDRE;79704;2232;2214;8747;40549;133446;26801;5683;126;26070;53402;245528;3385;36;;list(c(569111.887096543, 583313.792577659, 596927.061481399, 628968.705035615, 609832.713107273, 580584.16350171, 569111.887096543, 6646633.70186804, 6667410.76593976, 6666429.81900907, 6615859.47761687, 6600833.39835899, 6616848.347738, 6646633.70186804))
