code;canton;departement;cereales;racines_et_legumes_divers;cultures_diverses;prairies_artificielles;jacheres;total_des_terres_labourables;prairies_naturelles;vignes;autres_cultures_arborescentes;paturages;autres_surfaces_ecoumene;superficie_totale;marais_susceptibles_d_etre_desseches
180;CHER;;203303;8740;7080;69894;111695;400712;130530;10714;985;15850;161143;719934;1193
181;BOURGES ;CHER;84289;3620;2258;22143;35074;147384;35299;7150;57;3509;52549;245948;237
182;SAINT AMAND ;CHER;57353;2900;2102;28439;39589;130383;63069;993;816;2990;67326;265577;537
183;SANCERRE ;CHER;61661;2220;2720;19312;37032;122945;32162;2571;112;9351;41268;208409;419
190;CORREZE;;136926;13529;3092;1695;43951;199193;73146;16740;71915;161352;64263;586609;9156
191;BRIVE ;CORREZE;38832;6902;1247;948;8668;56597;22069;15391;27335;13242;17723;152357;244
192;TULLE ;CORREZE;59124;4049;1532;218;20693;85616;32380;1349;42994;76037;18364;256740;6966
193;USSEL ;CORREZE;38970;2578;313;529;14590;56980;18697;0;1586;72073;28176;177512;1946
200;CORSE;;76074;3055;1789;1225;45095;127238;1601;13648;40748;251157;440353;874745;1259
201;AJACCIO ;CORSE;16071;1684;311;220;5511;23797;722;1499;3007;81396;94981;205402;130
202;BASTIA ;CORSE;22707;747;612;945;9901;34912;228;8462;20912;55396;16299;136209;805
203;CALVI ;CORSE;5132;63;165;15;4397;9772;165;620;3333;35229;51174;100293;29
204;CORTE ;CORSE;16820;337;230;45;11348;28780;355;1618;11165;46186;160403;248507;200
205;SARTENE ;CORSE;15344;224;471;0;13938;29977;131;1449;2331;32950;117496;184334;95
210;COTE D'OR;;303600;25639;16870;44440;77841;468390;63627;29811;2364;22920;289004;876116;842
211;BEAUNE ;COTE D'OR;67103;5784;4757;8425;19169;105238;23951;14138;378;9277;61272;214254;11
212;CHATILLON SUR SEINE ;COTE D'OR;65261;6858;1631;12045;19335;105130;5747;4191;303;3349;78752;197472;491
213;DIJON ;COTE D'OR;104232;9144;7510;17004;21237;159127;17246;7880;721;5701;110646;301321;220
214;SEMUR ;COTE D'OR;67004;3853;2972;6966;18100;98895;16683;3602;962;4593;38334;163069;120
220;COTES DU NORD;;251388;17410;14551;23301;120824;427474;56969;0;5667;117329;81123;688562;2437
221;DINAN ;COTES DU NORD;60151;2160;2784;6824;24812;96731;8796;0;163;14602;20805;141097;600
222;GUINGAMP ;COTES DU NORD;50900;1915;2241;4790;41847;101693;18685;0;2430;33621;16580;173009;1462
223;LANNION ;COTES DU NORD;34905;4516;4119;4031;13906;61477;6121;0;140;8886;13974;90598;260
224;LOUDEAC ;COTES DU NORD;42887;2872;2597;2919;13215;64490;13641;0;0;41619;16902;136652;0
225;SAINT BRIEUC ;COTES DU NORD;62545;5947;2810;4737;27044;103083;9726;0;2934;18601;12862;147206;115
230;CREUSE;;145656;15332;4412;1190;97226;263816;126130;0;9162;85652;72070;556830;1685
231;AUBUSSON ;CREUSE;54324;6125;1462;427;33368;95706;42958;0;106;42085;23202;204057;845
232;BOURGANEUF ;CREUSE;15671;1672;648;230;10369;28590;18963;0;4326;22356;16358;90593;681
233;BOUSSAC ;CREUSE;30865;2179;557;370;23086;57057;20929;0;834;4329;12336;95485;0
234;GUERET ;CREUSE;44796;5356;1745;163;30403;82463;43280;0;3896;16882;20174;166695;159
240;DORDOGNE;;232747;43737;6852;14498;44383;342217;72177;96301;85823;77842;243896;918256;2416
241;BERGERAC ;DORDOGNE;65120;8027;1425;3996;18553;97121;15931;28406;7842;12810;57614;219724;0
242;NONTRON ;DORDOGNE;33744;8239;1219;2887;7611;53700;21340;9757;25688;20494;34991;165970;207
243;PERIGUEUX ;DORDOGNE;53259;10439;1282;1895;5013;71888;12076;23627;26133;12376;45644;191744;0
244;RIBERAC ;DORDOGNE;36856;7878;1737;2337;7588;56396;13634;15058;3817;9145;48403;146453;54
245;SARLAT ;DORDOGNE;43768;9154;1189;3383;5618;63112;9196;19453;22343;23017;57244;194365;2155
250;DOUBS;;126679;13473;3665;29192;16122;189131;90136;8148;2107;79836;153397;522755;1442
251;BAUME LES DAMES ;DOUBS;45286;3845;1204;9010;5603;64948;19375;1892;283;17282;43582;147362;254
252;BESANCON ;DOUBS;32246;3340;1438;8019;4060;49103;20959;5992;1342;11445;50427;139268;679
253;MONTBELIARD ;DOUBS;24114;3361;644;4928;3244;36291;23718;264;482;16780;30226;107761;229
254;PONTARLIER ;DOUBS;25033;2927;379;7235;3215;38789;26084;0;0;34329;29162;128364;280
260;DROME;;158277;22259;5589;32111;49827;268063;16434;24238;2961;126012;214447;652155;1678
261;DIE ;DROME;43614;4483;265;5994;20478;74834;5165;4481;204;64879;85379;234942;378
262;MONTELIMAR ;DROME;29043;4458;1159;5514;6930;47104;2028;9925;309;13388;40481;113235;300
263;NYONS ;DROME;21464;3531;766;4803;8904;39468;1324;3623;1046;35656;34917;116034;0
264;VALENCE ;DROME;64156;9787;3399;15800;13515;106657;7917;6209;1402;12089;53670;187944;1000
270;EURE;;220377;24286;14162;63424;55427;377676;23534;1136;35930;14347;143142;595765;1560
271;LES ANDELYS ;EURE;40602;5508;2376;14416;6919;69821;2628;143;3438;2219;26081;104330;70
272;BERNAY ;EURE;38801;3529;2238;10643;14402;69613;4521;0;8209;2928;23847;109118;0
273;EVREUX ;EURE;83330;6376;3492;26808;18612;138618;4773;832;10432;4627;51639;210921;12
274;LOUVIERS ;EURE;29567;4749;2376;5462;5620;47774;2289;161;2926;1509;23852;78511;3
275;PONT AUDEMER ;EURE;28077;4124;3680;6095;9874;51850;9323;0;10925;3064;17723;92885;1475
280;EURE ET LOIR;;286420;9268;7036;99799;74432;476955;17603;4318;243;5806;82505;587430;1261
281;CHARTRES ;EURE ET LOIR;118153;4923;2561;39031;21284;185952;2919;1829;141;991;17319;209151;50
282;CHATEAUDUN ;EURE ET LOIR;78607;1663;1365;22690;19026;123351;4050;662;53;1520;14969;144605;1037
283;DREUX ;EURE ET LOIR;57961;2310;2129;25939;19838;108177;4106;1775;44;1932;34914;150948;0
284;NOGENT LE ROTROU ;EURE ET LOIR;31699;372;981;12139;14284;59475;6528;52;5;1363;15303;82726;174
290;FINISTERE;;188987;25314;7006;15539;52687;289533;40451;0;4464;248743;88980;672171;9632
291;BREST ;FINISTERE;42516;9390;1284;4714;7681;65585;6922;0;271;48288;20377;141443;1952
292;CHATEAULIN ;FINISTERE;50750;3112;896;3029;15011;72798;12200;0;391;75120;22677;183186;4550
293;MORLAIX ;FINISTERE;37929;8406;3243;5804;10171;65553;8615;0;222;38063;20029;132482;1601
294;QUIMPER ;FINISTERE;39461;3579;1184;1849;12500;58573;8244;0;946;58953;13272;139988;1448
